fuente,titulo,contenido,seccion,liga,fecha
expansion,"Con más productos y crecimiento responsable, bancos digitales evitan caso Bineo","Los bancos digitales apuestan por tecnología, diversificación y estrategias focalizadas para evitar cometer el mismo error que Bineo, el banco digital de Banorte que está a la venta.",economia,https://expansion.mx/economia/2025/05/06/con-mas-productos-y-crecimiento-responsable-bancos-digitales-evitan-caso-bineo,06/05/2025
expansion,La inversión extranjera gira de la manufactura al comercio,"En el primer trimestre del año, el valor de los anuncios de inversión se concentró en el sector comercio, con 42%, frente a 24% de la manufactura, según datos de la Secretaría de Economía.",economia,https://expansion.mx/economia/2025/05/05/inversion-extranjera-mexico-ahora-apuesta-comercio,05/05/2025
expansion,"EU: Aranceles, recortes fiscales y desregulación de Trump impulsarán inversión","Scott Bessent hizo hincapié en el proyecto de ley tributaria republicana que se está tramitando en el Congreso, que haría permanentes muchas partes de los recortes del primer mandato.",economia,https://expansion.mx/economia/2025/05/05/eu-aranceles-recortes-fiscales-y-desregulacion-de-trump-impulsaran-inversion,05/05/2025
expansion,"México frena trampas en importación de acero; eliminará 1,062 registros",La Secretaría de Economía va contra registros irregulares para cerrar rutas de evasión y garantizar condiciones equitativas para los productores nacionales.,economia,https://expansion.mx/economia/2025/05/05/mexico-frena-trampas-en-importacion-de-acero-eliminara-1-062-registros,05/05/2025
expansion,La banca ve en el T-MEC y el Estado de derecho las anclas para el crecimiento,"Los bancos en México confían en que este mismo año se revisará el tratado comercial, lo que disminuirá la volatilidad del exterior; pese a la cautela de inversionistas, ven oportunidades para avanzar.",economia,https://expansion.mx/economia/2025/05/05/la-banca-ve-en-el-t-mec-y-el-estado-de-derecho-las-anclas-para-el-crecimiento,05/05/2025
expansion,"Trump anuncia nuevos aranceles, ahora contra las películas extranjeras",El presidente asegura que Hollywood es devastado por una tendencia de estudios y cineastas estadounidense que filman fuera del país.,economia,https://expansion.mx/economia/2025/05/04/trump-anuncia-aranceles-peliculas-extranjeras,05/05/2025
expansion,Donald Trump dice que no destituirá al presidente de la Fed antes de 2026,"El mandatario estadounidense espera que el banco central baje las tasas de interés en algún momento, pero que no lo hace porque Jerome Powell no es ""fan"" suyo.",economia,https://expansion.mx/economia/2025/05/04/donald-trump-dice-que-no-destituira-al-presidente-de-la-fed-antes-de-2026,04/05/2025
expansion,"Lázaro Cárdenas, el gran puerto mexicano que se enfrenta al huracán Trump","El puerto está conectado a un ferrocarril que llega hasta Estados Unidos y Canadá, por lo que un contenedor puede llegar a la ciudad de Chicago en siete días.",economia,https://expansion.mx/economia/2025/05/02/lazaro-cardenas-el-gran-puerto-mexicano-que-se-enfrenta-al-huracan-trump,02/05/2025
expansion,Habrá más inflación y menor crecimiento para 2025 por factores externos,La Encuesta de Expectativas a analistas privados que hace Banxico destaca más inflación y un débil crecimiento ante riesgos de comercio exterior.,economia,https://expansion.mx/economia/2025/05/02/habra-mas-inflacion-y-menor-crecimiento-para-2025-por-factores-externos,02/05/2025
expansion,La gasolina Magna y diésel van por un mes sin subsidios,Eliminar estos estímulos fiscales le permite recaudar más dinero a la Secretaría de Hacienda.,economia,https://expansion.mx/economia/2025/05/02/gasolina-magna-y-diesel-van-por-un-mes-sin-subsidios,02/05/2025
expansion,"Las remesas repuntan en marzo y llegan más de 5,150 millones de dólares","En el tercer mes del año, las remesas tuvieron un repunte luego de tres meses consecutivos de contracciones; en el primer trimestre, el monto fue de 14,269 millones de dólares.",economia,https://expansion.mx/economia/2025/05/02/remesas-primer-trimestre-2025,02/05/2025
expansion,Recortes y más recaudación por impuestos sellan primer semestre de Sheinbaum,"De octubre del año pasado al cierre del primer trimestre de 2025, se observan ajustes a los presupuestos de los ramos autónomos y dependencias federales.",economia,https://expansion.mx/economia/2025/05/02/recortes-y-mas-recaudacion-por-impuestos-sellan-primer-semestre-de-sheinbaum,02/05/2025
expansion,"Sheinbaum mantiene conversación ""muy positiva"" con Trump sobre comercio",La presidenta de México acordó con su homólogo estadounidense trabajar conjuntamente para mejorar el balance comercial entre ambos países.,economia,https://expansion.mx/economia/2025/05/01/claudia-sheinbaum-mantiene-conversacion-muy-positiva-con-donald-trump,01/05/2025
expansion,Hacienda descarta alteración de estimaciones por menos remanentes de Banxico,"De acuerdo con la información de Hacienda, los remanentes por 18,000 millones de pesos representan el 5.9% o la 17ava parte del costo financiero que se pagó en el primer trimestre del año.",economia,https://expansion.mx/economia/2025/04/30/remanentes-de-banxico-menores-a-lo-esperado-hacienda,30/04/2025
expansion,México evita recesión técnica al crecer 0.2% en el primer trimestre de 2025,El PIB creció impulsado por el sector agropecuario pese a la debilidad en el sector industrial.,economia,https://expansion.mx/economia/2025/04/30/mexico-se-salva-recesion-tecnica,30/04/2025
expansion,La economía de EU se contrae en el primer trimestre,"El Producto Interno Bruto disminuyó a una tasa anualizada del 0.3% el trimestre pasado, informó la Oficina de Análisis Económico del Departamento de Comercio en su estimación anticipada.",economia,https://expansion.mx/economia/2025/04/30/la-economia-de-eu-se-contrae-en-el-primer-trimestre,30/04/2025
expansion,"IA y trading, del código secreto de Wall Street al inversor de a pie","Los modelos de IA como ChatGPT prometen democratizar el trading, automatizar decisiones y cambiar el juego para grandes fondos y pequeños inversionistas.",economia,https://expansion.mx/economia/2025/04/30/ia-chatgpt-ayudar-pequenos-inversores-trading,30/04/2025
expansion,"Banamex: Remanentes ""simbólicos"" de Banxico ratifican su autonomía","Los remanentes de casi 18,000 millones de pesos que se entregarán al gobierno muestran la independencia del banco central al priorizar la creación de reservas antes que dárselas a Hacienda.",economia,https://expansion.mx/economia/2025/04/29/banamex-remanentes-simbolicos-de-banxico-ratifican-su-autonomia,30/04/2025
expansion,La Cepal recorta en 0.9 puntos su previsión de crecimiento para México en 2025,"Apenas hace una semana, el Fondo Monetario Internacional anticipó una contracción para la economía mexicana. Ambos pronósticos contrastan con el optimismo de Hacienda.",economia,https://expansion.mx/economia/2025/04/29/cepal-recorta-prevision-crecimiento-pib-mexico-2025,29/04/2025
expansion,Trump firma decreto para aliviar la carga de los aranceles al sector automotriz,"El anuncio se realizó cuando Trump celebrará el martes por la noche sus primeros 100 días de su segundo mandato en un mitin en Warren, cerca de Detroit, corazón de la industria automovilística de EU.",economia,https://expansion.mx/economia/2025/04/29/trump-firma-decreto-para-aliviar-la-carga-de-los-aranceles-al-sector-automotriz,29/04/2025
expansion,Los Cetes a 28 días despiden abril con su rendimiento más bajo desde 2022,Los rendimientos de los Cetes a seis meses fueron el plazo con el rendimiento más bajo ante la expectativa de que la tasa de interés baje en los siguientes meses.,economia,https://expansion.mx/economia/2025/04/28/los-cetes-a-28-dias-despiden-abril-con-su-rendimiento-mas-bajo-desde-2022,29/04/2025
expansion,BBVA México estima crecimiento negativo en 2025,"El banco dijo que publicará el dato en los próximos días y, a pesar de que espera un crecimiento negativo, descartó una recesión técnica.",economia,https://expansion.mx/economia/2025/04/29/bbva-estima-crecimiento-negativo-mexico-2025,29/04/2025
expansion,Cepal: Guerra arancelaria reduce estimación de crecimiento de Latinoamérica,"La región se verá directamente impactada en su comercio con Estados Unidos, que junto a China, son sus principales socios comerciales.",economia,https://expansion.mx/economia/2025/04/29/cepal-guerra-arancelaria-reduce-estimacion-de-crecimiento-de-latinoamerica,29/04/2025
expansion,"Ante el declive del dólar, el euro tiene un largo camino hacia la hegemonía","Los banqueros centrales de Europa ya vaticinan un futuro no muy lejano con el euro como una alternativa al dólar, pero hay una serie de condiciones que tendrían que cumplirse antes.",economia,https://expansion.mx/economia/2025/04/29/el-euro-esta-listo-para-desplazar-al-dolar,29/04/2025
expansion,Banco Mundial: Precios de materias primas caerán a niveles anteriores al covid,"""Los precios más altos de las materias primas han sido una bendición para muchas economías en desarrollo, dos tercios de las cuales son exportadoras de materias primas"", apuntó el organismo.",economia,https://expansion.mx/economia/2025/04/29/banco-mundial-precios-de-materias-primas-caeran-a-niveles-anteriores-al-covid,29/04/2025
